dataset,subject,decoder,n_trials,accuracy_all,mean_confidence,ece,brier,method,method_label,source_file
BNCI2014_001,3,teacher_student_mixture,288,0.8402777777777778,0.8249839470859829,0.038751306652343026,0.20667419428936704,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject3_probabilities.npz
BNCI2014_001,4,teacher_student_mixture,288,0.6701388888888888,0.6713769816969823,0.06942226597159978,0.4431934867756813,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject4_probabilities.npz
BNCI2014_001,5,teacher_student_mixture,288,0.4201388888888889,0.3293464374423527,0.09079245144653622,0.696944675969279,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject5_probabilities.npz
BNCI2014_001,6,teacher_student_mixture,288,0.5104166666666666,0.42789025278952153,0.08578473315407742,0.6245625018377077,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject6_probabilities.npz
BNCI2014_001,7,teacher_student_mixture,288,0.6423611111111112,0.6720959758280391,0.039439853708229264,0.416918028057608,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject7_probabilities.npz
BNCI2014_001,8,teacher_student_mixture,288,0.7986111111111112,0.7406086058575785,0.062207671039080856,0.29160432406290576,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject8_probabilities.npz
BNCI2014_001,9,teacher_student_mixture,288,0.8298611111111112,0.6176353423152918,0.2122257687958193,0.3202941214944792,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject9_probabilities.npz
BNCI2014_004,1,augmentation,320,0.703125,0.854812229635397,0.1532754228227894,0.44055280704729743,augmentation,Augmentation,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject1_probabilities.npz
BNCI2014_004,2,augmentation,280,0.5678571428571428,0.6016185981344975,0.03950757299772741,0.4871780552776282,augmentation,Augmentation,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject2_probabilities.npz
BNCI2014_004,3,augmentation,320,0.534375,0.501100920884194,0.03327407911580604,0.49996079981042013,augmentation,Augmentation,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject3_probabilities.npz
BNCI2014_004,4,augmentation,320,0.9625,0.9773364365858885,0.021021870556284798,0.054628214190641414,augmentation,Augmentation,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject4_probabilities.npz
BNCI2014_004,5,augmentation,320,0.853125,0.9138065841627009,0.06400697978211209,0.2173090266568451,augmentation,Augmentation,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject5_probabilities.npz
BNCI2014_004,6,augmentation,320,0.859375,0.8111778126319742,0.04819718736802582,0.21869416489984134,augmentation,Augmentation,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject6_probabilities.npz
BNCI2014_004,7,augmentation,320,0.76875,0.8088682787787779,0.050293856210361386,0.30458049336371473,augmentation,Augmentation,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject7_probabilities.npz
BNCI2014_004,8,augmentation,320,0.890625,0.9060932932296751,0.02591982104523527,0.14326852275435992,augmentation,Augmentation,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject8_probabilities.npz
BNCI2014_004,9,augmentation,320,0.9,0.8785110709303536,0.03774089196865832,0.1666396785234419,augmentation,Augmentation,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject9_probabilities.npz
BNCI2014_004,1,baseline,320,0.703125,0.854812229635397,0.1532754228227894,0.44055280704729743,baseline,Baseline,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject1_probabilities.npz
BNCI2014_004,2,baseline,280,0.5857142857142857,0.6028522223654749,0.0329407725352171,0.4839666614171336,baseline,Baseline,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject2_probabilities.npz
BNCI2014_004,3,baseline,320,0.534375,0.501100920884194,0.03327407911580604,0.49996079981042013,baseline,Baseline,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject3_probabilities.npz
BNCI2014_004,4,baseline,320,0.96875,0.9684762909416798,0.01766351304130442,0.05485984084443788,baseline,Baseline,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject4_probabilities.npz
BNCI2014_004,5,baseline,320,0.90625,0.8990077687946346,0.028810694925375996,0.14367923861914442,baseline,Baseline,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject5_probabilities.npz
BNCI2014_004,6,baseline,320,0.821875,0.7798966067971655,0.04358048464893939,0.2587194981410139,baseline,Baseline,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject6_probabilities.npz
BNCI2014_004,7,baseline,320,0.76875,0.8088682787787779,0.050293856210361386,0.30458049336371473,baseline,Baseline,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject7_probabilities.npz
BNCI2014_004,8,baseline,320,0.890625,0.9060932932296751,0.02591982104523527,0.14326852275435992,baseline,Baseline,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject8_probabilities.npz
BNCI2014_004,9,baseline,320,0.9,0.8785110709303536,0.03774089196865832,0.1666396785234419,baseline,Baseline,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject9_probabilities.npz
