dataset,subject,experiment_key,method_label,metric,baseline,candidate,delta
BNCI2014_001,3,augmentation,Augmentation,Brier,0.1948154950753231,0.2307368660102266,0.035921370934903524
BNCI2014_001,4,augmentation,Augmentation,Brier,0.448055951942155,0.448055951942155,0.0
BNCI2014_001,5,augmentation,Augmentation,Brier,0.6967971917129899,0.6786258272099587,-0.01817136450303125
BNCI2014_001,6,augmentation,Augmentation,Brier,0.6191650645014087,0.6037697221409364,-0.015395342360472353
BNCI2014_001,7,augmentation,Augmentation,Brier,0.2887059934926252,0.2887059934926252,0.0
BNCI2014_001,8,augmentation,Augmentation,Brier,0.2604988545533775,0.2482814043955397,-0.012217450157837817
BNCI2014_001,9,augmentation,Augmentation,Brier,0.3059176781853959,0.3270803667766196,0.02116268859122372
BNCI2014_001,1,augmentation,Augmentation,accuracy,0.8055555555555556,0.7708333333333334,-0.03472222222222221
BNCI2014_001,2,augmentation,Augmentation,accuracy,0.4756944444444444,0.46875,-0.00694444444444442
BNCI2014_001,3,augmentation,Augmentation,accuracy,0.8645833333333334,0.8263888888888888,-0.03819444444444453
BNCI2014_001,4,augmentation,Augmentation,accuracy,0.6736111111111112,0.6736111111111112,0.0
BNCI2014_001,5,augmentation,Augmentation,accuracy,0.3819444444444444,0.4201388888888889,0.038194444444444475
BNCI2014_001,6,augmentation,Augmentation,accuracy,0.5,0.5277777777777778,0.02777777777777779
BNCI2014_001,7,augmentation,Augmentation,accuracy,0.8055555555555556,0.8055555555555556,0.0
BNCI2014_001,8,augmentation,Augmentation,accuracy,0.8229166666666666,0.8263888888888888,0.00347222222222221
BNCI2014_001,9,augmentation,Augmentation,accuracy,0.8159722222222222,0.7881944444444444,-0.02777777777777779
BNCI2014_001,1,augmentation,Augmentation,ECE,0.0652607710843051,0.0776318749732234,0.012371103888918294
BNCI2014_001,2,augmentation,Augmentation,ECE,0.1839904390450046,0.2249994872370071,0.04100904819200252
BNCI2014_001,3,augmentation,Augmentation,ECE,0.0715493142164599,0.0587534172607952,-0.012795896955664694
BNCI2014_001,4,augmentation,Augmentation,ECE,0.080038781405371,0.080038781405371,0.0
BNCI2014_001,5,augmentation,Augmentation,ECE,0.0868435252505211,0.0767927598803967,-0.010050765370124393
BNCI2014_001,6,augmentation,Augmentation,ECE,0.0937385688403907,0.1088773799015294,0.015138811061138707
BNCI2014_001,7,augmentation,Augmentation,ECE,0.0914203031935196,0.0914203031935196,0.0
BNCI2014_001,8,augmentation,Augmentation,ECE,0.092193472661842,0.0805814171787436,-0.01161205548309839
BNCI2014_001,9,augmentation,Augmentation,ECE,0.1440362824569283,0.1275804408371357,-0.016455841619792577
BNCI2014_001,1,augmentation,Augmentation,NLL,0.4897892994929562,0.5456028431770485,0.05581354368409236
BNCI2014_001,2,augmentation,Augmentation,NLL,1.435960180040859,1.5563424648145852,0.12038228477372614
BNCI2014_001,3,augmentation,Augmentation,NLL,0.3495514024075278,0.4045667497852948,0.05501534737776698
BNCI2014_001,4,augmentation,Augmentation,NLL,0.8095640151179806,0.8095640151179806,0.0
BNCI2014_001,5,augmentation,Augmentation,NLL,1.276354302334385,1.2445771702415018,-0.03177713209288324
BNCI2014_001,6,augmentation,Augmentation,NLL,1.138544201672521,1.116514564495182,-0.022029637177338968
BNCI2014_001,7,augmentation,Augmentation,NLL,0.4898047402104328,0.4898047402104328,0.0
BNCI2014_001,8,augmentation,Augmentation,NLL,0.4950543717383571,0.4800085514871677,-0.01504582025118939
BNCI2014_001,9,augmentation,Augmentation,NLL,0.5644810225988702,0.586254192804044,0.021773170205173775
BNCI2014_001,1,teacher_student_mixture,Teacher/student,Brier,0.2691424310974397,0.2452899706012873,-0.02385246049615239
BNCI2014_001,2,teacher_student_mixture,Teacher/student,Brier,0.7021799019901737,0.5997133819284657,-0.10246652006170798
BNCI2014_001,3,teacher_student_mixture,Teacher/student,Brier,0.1948154950753231,0.2066741943446036,0.011858699269280515
BNCI2014_001,4,teacher_student_mixture,Teacher/student,Brier,0.448055951942155,0.4431934876892827,-0.0048624642528722894
BNCI2014_001,5,teacher_student_mixture,Teacher/student,Brier,0.6967971917129899,0.6969446767849908,0.000147485072000908
BNCI2014_001,6,teacher_student_mixture,Teacher/student,Brier,0.6191650645014087,0.6245625025792181,0.005397438077809347
BNCI2014_001,7,teacher_student_mixture,Teacher/student,Brier,0.2887059934926252,0.4169180275411544,0.1282120340485292
BNCI2014_001,8,teacher_student_mixture,Teacher/student,Brier,0.2604988545533775,0.2916043246420517,0.031105470088674203
BNCI2014_001,9,teacher_student_mixture,Teacher/student,Brier,0.3059176781853959,0.3202941219259318,0.014376443740535927
BNCI2014_001,1,teacher_student_mixture,Teacher/student,accuracy,0.8055555555555556,0.8298611111111112,0.02430555555555558
BNCI2014_001,2,teacher_student_mixture,Teacher/student,accuracy,0.4756944444444444,0.4895833333333333,0.013888888888888895
BNCI2014_001,3,teacher_student_mixture,Teacher/student,accuracy,0.8645833333333334,0.8402777777777778,-0.02430555555555558
BNCI2014_001,4,teacher_student_mixture,Teacher/student,accuracy,0.6736111111111112,0.6701388888888888,-0.003472222222222321
BNCI2014_001,5,teacher_student_mixture,Teacher/student,accuracy,0.3819444444444444,0.4201388888888889,0.038194444444444475
BNCI2014_001,6,teacher_student_mixture,Teacher/student,accuracy,0.5,0.5104166666666666,0.01041666666666663
BNCI2014_001,7,teacher_student_mixture,Teacher/student,accuracy,0.8055555555555556,0.6423611111111112,-0.16319444444444442
BNCI2014_001,8,teacher_student_mixture,Teacher/student,accuracy,0.8229166666666666,0.7986111111111112,-0.02430555555555547
BNCI2014_001,9,teacher_student_mixture,Teacher/student,accuracy,0.8159722222222222,0.8298611111111112,0.01388888888888895
BNCI2014_001,1,teacher_student_mixture,Teacher/student,ECE,0.0652607710843051,0.0820605889414675,0.016799817857162405
BNCI2014_001,2,teacher_student_mixture,Teacher/student,ECE,0.1839904390450046,0.0919968453748149,-0.0919935936701897
BNCI2014_001,3,teacher_student_mixture,Teacher/student,ECE,0.0715493142164599,0.0465661723037969,-0.024983141912662994
BNCI2014_001,4,teacher_student_mixture,Teacher/student,ECE,0.080038781405371,0.0807300810906569,0.0006912996852858899
BNCI2014_001,5,teacher_student_mixture,Teacher/student,ECE,0.0868435252505211,0.1000674801671848,0.0132239549166637
BNCI2014_001,6,teacher_student_mixture,Teacher/student,ECE,0.0937385688403907,0.1292006880847883,0.0354621192443976
BNCI2014_001,7,teacher_student_mixture,Teacher/student,ECE,0.0914203031935196,0.0812719198966137,-0.0101483832969059
BNCI2014_001,8,teacher_student_mixture,Teacher/student,ECE,0.092193472661842,0.0782859209254777,-0.013907551736364293
BNCI2014_001,9,teacher_student_mixture,Teacher/student,ECE,0.1440362824569283,0.2190610777213358,0.0750247952644075
BNCI2014_001,1,teacher_student_mixture,Teacher/student,NLL,0.4897892994929562,0.4141083206586562,-0.07568097883429997
BNCI2014_001,2,teacher_student_mixture,Teacher/student,NLL,1.435960180040859,1.0724331582582314,-0.36352702178262764
