dataset,method,method_label,target_coverage,n_subjects,heldout_coverage_mean,heldout_coverage_std,heldout_selective_accuracy_mean,heldout_selective_accuracy_std,heldout_risk_mean,heldout_risk_std,heldout_n_covered_sum,eval_labels_used_for_threshold
BNCI2014_001,baseline,Baseline,0.6,9,0.6180555555555556,0.052811271048841826,0.7823582393943609,0.19646238126250187,0.21764176060563906,0.1964623812625019,1602,False
BNCI2014_001,seed_ensemble,Seed ensemble,0.6,9,0.6153549382716049,0.0717737772384195,0.7847372330028844,0.1851028766846853,0.2152627669971156,0.1851028766846853,1595,False
BNCI2014_001,teacher_student_mixture,Teacher/student,0.6,9,0.5733024691358026,0.06365623829828036,0.7940640968483414,0.17582489158393974,0.20593590315165844,0.17582489158393974,1486,False
BNCI2014_001,validation_selected_portfolio,Portfolio,0.6,9,0.5825617283950617,0.07851246130743672,0.7897577098623615,0.16894187603423808,0.2102422901376385,0.16894187603423808,1510,False
BNCI2014_001,augmentation,Augmentation,0.8,9,0.7719907407407407,0.06903816338892009,0.7502760593105589,0.17119828076337423,0.24972394068944123,0.17119828076337418,2001,False
BNCI2014_001,baseline,Baseline,0.8,9,0.7777777777777778,0.06876597582181922,0.746259495613449,0.19517108000643069,0.253740504386551,0.19517108000643066,2016,False
BNCI2014_001,seed_ensemble,Seed ensemble,0.8,9,0.7901234567901235,0.05142618118194948,0.7354743598933635,0.1799277334090815,0.2645256401066366,0.17992773340908153,2048,False
BNCI2014_001,teacher_student_mixture,Teacher/student,0.8,9,0.7719907407407407,0.049593252975992014,0.7368731174204217,0.17010816953103913,0.2631268825795783,0.17010816953103913,2001,False
BNCI2014_001,validation_selected_portfolio,Portfolio,0.8,9,0.7766203703703703,0.05665388078944637,0.7358519077415429,0.16680775380838708,0.26414809225845715,0.1668077538083871,2013,False
BNCI2014_001,augmentation,Augmentation,0.9,9,0.8834876543209876,0.04199048268757963,0.716989323047541,0.166367994129033,0.28301067695245885,0.166367994129033,2290,False
BNCI2014_001,baseline,Baseline,0.9,9,0.8757716049382717,0.05283099619945584,0.7199549380488074,0.18841976843758812,0.2800450619511926,0.18841976843758812,2270,False
BNCI2014_001,seed_ensemble,Seed ensemble,0.9,9,0.8769290123456791,0.04364856673991035,0.7135283857204446,0.17460680727059946,0.28647161427955536,0.17460680727059946,2273,False
BNCI2014_001,teacher_student_mixture,Teacher/student,0.9,9,0.873070987654321,0.06549557979293519,0.7067710004156768,0.15381568100658424,0.29322899958432314,0.15381568100658427,2263,False
BNCI2014_001,validation_selected_portfolio,Portfolio,0.9,9,0.894675925925926,0.054851831532744366,0.6991429884691837,0.15637717460433062,0.3008570115308163,0.1563771746043306,2319,False
BNCI2014_004,augmentation,Augmentation,0.4,9,0.40664682539682545,0.09499187956767381,0.8732599083262917,0.1614295866428981,0.12674009167370828,0.16142958664289814,1157,False
BNCI2014_004,baseline,Baseline,0.4,9,0.40069444444444446,0.09416318413750452,0.8736204978337128,0.1658150306491579,0.1263795021662872,0.16581503064915787,1139,False
BNCI2014_004,seed_ensemble,Seed ensemble,0.4,9,0.40168650793650795,0.09446880000582301,0.8749518124527851,0.15894577905701598,0.1250481875472148,0.15894577905701598,1141,False
BNCI2014_004,teacher_student_mixture,Teacher/student,0.4,9,0.4079861111111111,0.10580083891648542,0.8762135097558132,0.1635704695549206,0.12378649024418675,0.16357046955492058,1160,False
BNCI2014_004,validation_selected_portfolio,Portfolio,0.4,9,0.4208829365079365,0.10401983226243573,0.8749147582621626,0.15841700717927373,0.1250852417378374,0.15841700717927373,1198,False
BNCI2014_004,augmentation,Augmentation,0.6,9,0.5885416666666667,0.07772815877574014,0.855879603438315,0.1640546395468243,0.1441203965616849,0.16405463954682434,1672,False
BNCI2014_004,baseline,Baseline,0.6,9,0.5791666666666667,0.08561967745014383,0.8560923910790363,0.16257630893946476,0.14390760892096366,0.1625763089394648,1644,False
BNCI2014_004,seed_ensemble,Seed ensemble,0.6,9,0.5700892857142857,0.08623714124133786,0.8560230695964862,0.16319395428397504,0.1439769304035137,0.16319395428397498,1618,False
BNCI2014_004,teacher_student_mixture,Teacher/student,0.6,9,0.5937500000000001,0.10463436669873072,0.8556013563465182,0.16333121821858204,0.14439864365348165,0.16333121821858204,1686,False
BNCI2014_004,validation_selected_portfolio,Portfolio,0.6,9,0.6006944444444444,0.09293368885765463,0.8544404922863327,0.1640928996296958,0.14555950771366735,0.16409289962969578,1707,False
BNCI2014_004,augmentation,Augmentation,0.8,9,0.7794642857142857,0.07709798307195961,0.8256947986419075,0.16280567771594207,0.1743052013580924,0.16280567771594207,2211,False
BNCI2014_004,baseline,Baseline,0.8,9,0.7735119047619048,0.0701718563773087,0.8279461812270992,0.15918272373210632,0.1720538187729008,0.1591827237321063,2195,False
BNCI2014_004,seed_ensemble,Seed ensemble,0.8,9,0.7765376984126984,0.06688027505020544,0.8316940234091362,0.1512372576242134,0.16830597659086366,0.1512372576242134,2203,False
BNCI2014_004,teacher_student_mixture,Teacher/student,0.8,9,0.7641369047619047,0.08334847864072477,0.828168771387971,0.1598755072558204,0.17183122861202907,0.1598755072558204,2168,False
BNCI2014_004,validation_selected_portfolio,Portfolio,0.8,9,0.7791170634920636,0.07762917427326989,0.8274088993520181,0.16465602187864492,0.172591100647982,0.16465602187864492,2210,False
BNCI2014_004,augmentation,Augmentation,0.9,9,0.875595238095238,0.04901732406394727,0.8086995062590838,0.1535367458176807,0.1913004937409163,0.1535367458176807,2486,False
BNCI2014_004,baseline,Baseline,0.9,9,0.8708829365079365,0.04715162039095335,0.8130446846768203,0.1557917438895604,0.18695531532317966,0.1557917438895604,2472,False
BNCI2014_004,seed_ensemble,Seed ensemble,0.9,9,0.8714285714285714,0.05590486837825507,0.8181880718834385,0.1506019827873203,0.18181192811656158,0.1506019827873203,2473,False
BNCI2014_004,teacher_student_mixture,Teacher/student,0.9,9,0.8635912698412698,0.055096557329534133,0.8138663279534595,0.15689337978032267,0.18613367204654047,0.15689337978032267,2451,False
BNCI2014_004,validation_selected_portfolio,Portfolio,0.9,9,0.8728174603174603,0.04739598258388536,0.8111182659196761,0.1558694521324332,0.18888173408032394,0.1558694521324332,2478,False
