dataset,subject,method,method_label,target_coverage,threshold,threshold_source,threshold_selection_split,eval_labels_used_for_threshold,heldout_curve_type,val_coverage,val_selective_accuracy,val_risk,heldout_coverage,heldout_selective_accuracy,heldout_risk,heldout_n_covered,heldout_accuracy_all,mean_val_confidence,mean_heldout_confidence,source_file
BCI IIIa,l1b,teacher_student_mixture,Teacher/student,0.6,0.48693835463223034,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5625,0.7777777777777778,0.2222222222222222,0.7380952380952381,0.8387096774193549,0.16129032258064516,31,0.7380952380952381,0.5576215097553501,0.5851976043224475,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,teacher_student_mixture,Teacher/student,0.8,0.4694786141735109,validation_confidence_quantile,validation,False,validation_selected_threshold,0.75,0.75,0.25,0.7857142857142857,0.7878787878787878,0.21212121212121213,33,0.7380952380952381,0.5576215097553501,0.5851976043224475,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,teacher_student_mixture,Teacher/student,0.9,0.402602013926193,validation_confidence_quantile,validation,False,validation_selected_threshold,0.875,0.7857142857142857,0.21428571428571427,0.8571428571428571,0.7777777777777778,0.2222222222222222,36,0.7380952380952381,0.5576215097553501,0.5851976043224475,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,validation_selected_portfolio,Portfolio,0.4,0.7002694017256326,validation_confidence_quantile,validation,False,validation_selected_threshold,0.375,0.6666666666666666,0.3333333333333333,0.35714285714285715,1.0,0.0,15,0.7142857142857143,0.6461870300030222,0.634150558430797,results/paper_calibration_stats/validation_selected_portfolio/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,validation_selected_portfolio,Portfolio,0.6,0.6008233850584134,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5625,0.6666666666666666,0.3333333333333333,0.5238095238095238,0.9090909090909091,0.09090909090909091,22,0.7142857142857143,0.6461870300030222,0.634150558430797,results/paper_calibration_stats/validation_selected_portfolio/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,validation_selected_portfolio,Portfolio,0.8,0.5237409560264434,validation_confidence_quantile,validation,False,validation_selected_threshold,0.75,0.75,0.25,0.7619047619047619,0.8125,0.1875,32,0.7142857142857143,0.6461870300030222,0.634150558430797,results/paper_calibration_stats/validation_selected_portfolio/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,validation_selected_portfolio,Portfolio,0.9,0.476339978480264,validation_confidence_quantile,validation,False,validation_selected_threshold,0.875,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.7222222222222222,0.2777777777777778,36,0.7142857142857143,0.6461870300030222,0.634150558430797,results/paper_calibration_stats/validation_selected_portfolio/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IV-2a,1,architecture,architecture,0.4,0.9938489829440915,validation_confidence_quantile,validation,False,validation_selected_threshold,0.39655172413793105,1.0,0.0,0.4340277777777778,0.936,0.064,125,0.8298611111111112,0.9100336536837146,0.917948000274365,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
BCI IV-2a,1,architecture,architecture,0.6,0.979299951676725,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5862068965517241,1.0,0.0,0.5763888888888888,0.9457831325301205,0.05421686746987952,166,0.8298611111111112,0.9100336536837146,0.917948000274365,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
BCI IV-2a,1,architecture,architecture,0.8,0.8660924649111024,validation_confidence_quantile,validation,False,validation_selected_threshold,0.7931034482758621,0.9782608695652174,0.021739130434782608,0.7673611111111112,0.9049773755656109,0.09502262443438914,221,0.8298611111111112,0.9100336536837146,0.917948000274365,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
BCI IV-2a,1,architecture,architecture,0.9,0.6576896097992617,validation_confidence_quantile,validation,False,validation_selected_threshold,0.896551724137931,0.9423076923076923,0.057692307692307696,0.9201388888888888,0.8603773584905661,0.13962264150943396,265,0.8298611111111112,0.9100336536837146,0.917948000274365,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
BCI IV-2a,1,augmentation,Augmentation,0.4,0.928462178742294,validation_confidence_quantile,validation,False,validation_selected_threshold,0.39655172413793105,1.0,0.0,0.4131944444444444,0.9495798319327731,0.05042016806722689,119,0.8090277777777778,0.8216369469642623,0.8357105150268449,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
BCI IV-2a,1,augmentation,Augmentation,0.6,0.8264860753805162,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5862068965517241,0.9411764705882353,0.058823529411764705,0.5763888888888888,0.9337349397590361,0.06626506024096386,166,0.8090277777777778,0.8216369469642623,0.8357105150268449,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
BCI IV-2a,1,augmentation,Augmentation,0.8,0.6649974583533991,validation_confidence_quantile,validation,False,validation_selected_threshold,0.7931034482758621,0.8913043478260869,0.10869565217391304,0.7951388888888888,0.8646288209606987,0.13537117903930132,229,0.8090277777777778,0.8216369469642623,0.8357105150268449,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
BCI IV-2a,1,augmentation,Augmentation,0.9,0.542829104671578,validation_confidence_quantile,validation,False,validation_selected_threshold,0.896551724137931,0.8269230769230769,0.17307692307692307,0.9583333333333334,0.8333333333333334,0.16666666666666666,276,0.8090277777777778,0.8216369469642623,0.8357105150268449,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
BCI IV-2a,1,baseline,Baseline,0.4,0.9109888207018252,validation_confidence_quantile,validation,False,validation_selected_threshold,0.39655172413793105,1.0,0.0,0.4166666666666667,0.9666666666666667,0.03333333333333333,120,0.8020833333333334,0.8129939062168149,0.8253394674937787,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
