dataset,subject,experiment_key,AUROC,accuracy
bnci2014_004,5,labram_frozen_p4,0.6224609375,0.575
bnci2014_004,6,labram_frozen_p4,0.511015625,0.515625
bnci2014_004,7,labram_frozen_p4,0.51875,0.478125
bnci2014_004,8,labram_frozen_p4,0.7667578125000001,0.678125
bnci2014_004,9,labram_frozen_p4,0.5710546875,0.5375
bnci2014_004,1,labram_frozen_randinit_p2,0.5528906250000001,0.528125
bnci2014_004,2,labram_frozen_randinit_p2,0.508265306122449,0.5107142857142857
bnci2014_004,3,labram_frozen_randinit_p2,0.5548046874999999,0.546875
bnci2014_004,4,labram_frozen_randinit_p2,0.5286328125,0.5125
bnci2014_004,5,labram_frozen_randinit_p2,0.5433984375,0.525
bnci2014_004,6,labram_frozen_randinit_p2,0.500546875,0.503125
bnci2014_004,7,labram_frozen_randinit_p2,0.5412890625,0.5125
bnci2014_004,8,labram_frozen_randinit_p2,0.5705078125,0.55625
bnci2014_004,9,labram_frozen_randinit_p2,0.49964843750000004,0.515625
bnci2014_004,1,labram_frozen_randinit_p4,0.49925781249999995,0.503125
bnci2014_004,2,labram_frozen_randinit_p4,0.5030102040816327,0.5321428571428571
bnci2014_004,3,labram_frozen_randinit_p4,0.55234375,0.528125
bnci2014_004,4,labram_frozen_randinit_p4,0.5791796875,0.553125
bnci2014_004,5,labram_frozen_randinit_p4,0.48761718749999994,0.490625
bnci2014_004,6,labram_frozen_randinit_p4,0.5062890624999999,0.515625
bnci2014_004,7,labram_frozen_randinit_p4,0.540546875,0.534375
bnci2014_004,8,labram_frozen_randinit_p4,0.5814453125,0.540625
bnci2014_004,9,labram_frozen_randinit_p4,0.4867578125,0.496875
